Level_Emosi,Tipe_Emosi,Sumber_Emosi,Pertanyaan_Analisis
Sangat Buruk,Kecewa,Sekolah,Apa yang membuat kamu merasa kecewa di Sekolah? | Apa yang bisa menyebabkan perasaan kecewa kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Sekolah? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Sekolah?
Sangat Buruk,Kecewa,Rumah,Apa yang membuat kamu merasa kecewa di Rumah? | Apa yang bisa menyebabkan perasaan kecewa kamu di Rumah? | Bagaimana situasi di Rumah mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Rumah? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Rumah?
Sangat Buruk,Kecewa,Kantor,Apa yang membuat kamu merasa kecewa di Kantor? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kantor? | Bagaimana situasi di Kantor mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Kantor? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Kantor?
Sangat Buruk,Kecewa,Kampus,Apa yang membuat kamu merasa kecewa di Kampus? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kampus? | Bagaimana situasi di Kampus mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Kampus? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Kampus?
Sangat Buruk,Kecewa,Taman,Apa yang membuat kamu merasa kecewa di Taman? | Apa yang bisa menyebabkan perasaan kecewa kamu di Taman? | Bagaimana situasi di Taman mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Taman? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Taman?
Sangat Buruk,Kecewa,Kafe,Apa yang membuat kamu merasa kecewa di Kafe? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kafe? | Bagaimana situasi di Kafe mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Kafe? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Kafe?
Sangat Buruk,Kecewa,Gym,Apa yang membuat kamu merasa kecewa di Gym? | Apa yang bisa menyebabkan perasaan kecewa kamu di Gym? | Bagaimana situasi di Gym mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Gym? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Gym?
Sangat Buruk,Kecewa,Museum,Apa yang membuat kamu merasa kecewa di Museum? | Apa yang bisa menyebabkan perasaan kecewa kamu di Museum? | Bagaimana situasi di Museum mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Museum? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Museum?
Sangat Buruk,Kecewa,Pantai,Apa yang membuat kamu merasa kecewa di Pantai? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pantai? | Bagaimana situasi di Pantai mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pantai? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Pantai?
Sangat Buruk,Kecewa,Perpustakaan,Apa yang membuat kamu merasa kecewa di Perpustakaan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Perpustakaan? | Bagaimana situasi di Perpustakaan mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Perpustakaan? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Perpustakaan?
Sangat Buruk,Kecewa,Pertemuan,Apa yang membuat kamu merasa kecewa di Pertemuan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pertemuan? | Bagaimana situasi di Pertemuan mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pertemuan? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Pertemuan?
Sangat Buruk,Kecewa,Restoran,Apa yang membuat kamu merasa kecewa di Restoran? | Apa yang bisa menyebabkan perasaan kecewa kamu di Restoran? | Bagaimana situasi di Restoran mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Restoran? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Restoran?
Sangat Buruk,Kecewa,Transportasi Umum,Apa yang membuat kamu merasa kecewa di Transportasi Umum? | Apa yang bisa menyebabkan perasaan kecewa kamu di Transportasi Umum? | Bagaimana situasi di Transportasi Umum mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Transportasi Umum? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Transportasi Umum?
Sangat Buruk,Kecewa,Tempat Ibadah,Apa yang membuat kamu merasa kecewa di Tempat Ibadah? | Apa yang bisa menyebabkan perasaan kecewa kamu di Tempat Ibadah? | Bagaimana situasi di Tempat Ibadah mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Tempat Ibadah? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Tempat Ibadah?
Sangat Buruk,Kecewa,Pasar,Apa yang membuat kamu merasa kecewa di Pasar? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pasar? | Bagaimana situasi di Pasar mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Pasar? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Pasar?
Sangat Buruk,Kecewa,Event,Apa yang membuat kamu merasa kecewa di Event? | Apa yang bisa menyebabkan perasaan kecewa kamu di Event? | Bagaimana situasi di Event mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Event? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Event?
Sangat Buruk,Kecewa,Lokasi Olahraga,Apa yang membuat kamu merasa kecewa di Lokasi Olahraga? | Apa yang bisa menyebabkan perasaan kecewa kamu di Lokasi Olahraga? | Bagaimana situasi di Lokasi Olahraga mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Lokasi Olahraga? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Lokasi Olahraga?
Sangat Buruk,Kecewa,Studio Seni,Apa yang membuat kamu merasa kecewa di Studio Seni? | Apa yang bisa menyebabkan perasaan kecewa kamu di Studio Seni? | Bagaimana situasi di Studio Seni mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Studio Seni? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Studio Seni?
Sangat Buruk,Kecewa,Kantor Pemerintah,Apa yang membuat kamu merasa kecewa di Kantor Pemerintah? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kantor Pemerintah? | Bagaimana situasi di Kantor Pemerintah mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Kantor Pemerintah? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Kantor Pemerintah?
Sangat Buruk,Kecewa,Kegiatan Sosial,Apa yang membuat kamu merasa kecewa di Kegiatan Sosial? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kegiatan Sosial? | Bagaimana situasi di Kegiatan Sosial mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Kegiatan Sosial? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Kegiatan Sosial?
Sangat Buruk,Kecewa,Bandara,Apa yang membuat kamu merasa kecewa di Bandara? | Apa yang bisa menyebabkan perasaan kecewa kamu di Bandara? | Bagaimana situasi di Bandara mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Bandara? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Bandara?
